name,price,description,specifications
Bayam,Rp. 5.000,"Bayam Bayam kami adalah sumber zat besi yang hebat, baik untuk kesehatan Anda. Nikmati bayam dalam salad, smoothie, atau sebagai bahan tambahan pada masakan lainnya. Rasa dan kesegarannya pasti akan memuaskan.","Beradaptasi baik didataran rendah - tinggi; Benih Bayam tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Brokoli,Rp. 10.000,"Brokoli adalah sayuran hijau yang kaya akan nutrisi dan sangat bermanfaat bagi kesehatan. Sayuran ini mengandung serat tinggi, vitamin C, K, dan A, serta berbagai antioksidan yang membantu meningkatkan sistem kekebalan tubuh dan menjaga kesehatan jantung.","Beradaptasi baik didataran rendah - tinggi; Benih Brokoli tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Buncis,Rp. 10.000,"Buncis adalah sayuran hijau yang kaya akan nutrisi dan sangat bermanfaat bagi kesehatan. Buncis mengandung serat tinggi, vitamin C, K, dan A, serta berbagai antioksidan yang membantu meningkatkan sistem kekebalan tubuh, menjaga kesehatan mata, dan mendukung kesehatan tulang.","Beradaptasi baik didataran rendah - tinggi; Benih BenihBuncis.png tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Benih Cabai Keriting,Rp. 5.000,"Benih cabai keriting dengan penciri utama buah keras dan padat ketika dipanen, ukuran buah pertama dan kedua cenderung lebih besar.","Beradaptasi baik didataran sedang – atas; Ruas cabang pendek; Panjang buah 16 – 18 cm; Diameter buah 0,4 – 0,6 cm; Warna buah hijau tua dan merah menyala setelah matang; Bentuk buah panjang keriting; Dapat dipanen umur ± 90 HST; Toleran terhadap virus"
Benih Cabai Rawit,Rp. 5.000,"Benih cabai rawit unggulan dengan penciri utama tanaman rawit tahan virus namun muncur tunas air, ukuran buah sedang dan daun bergelombang.","Beradaptasi baik didataran rendah -  tinggi; Benih cabai tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Cal-Ha,Rp. 5.000,"Kombinasi unsur hara Kalsium (Ca) organik dengan Humat (HA) berbentuk tepung dilengkapi unsur hara mikro yang efektif untuk meningkatkan kekuatan jaringan tanaman, mencegah kerontokan bunga/buah, mencegah busuk ujung buah & mati pucuk, sekaligus meningkatkan kualitas tumbuh serta produktivitas tanaman pangan, hortikultura dan perkebunan.",Mencegah dan mengatasi gejala busuk ujung buah; Memperkokoh fisik tanaman sehingga tidak mudah rebah.; Mencegah dan mengatasi rontok bunga dan buah.; Mencegah gejala mati pucuk pada tanaman-tanaman muda; Mengurangi dan menghambat pertumbuhan jamur-jamur patogen.
Impresol,Rp. 5.000,"IMPRESOL merupakan pupuk kalium organic chellate asam humat dan dilengkapi dengan unsur Fe. Produk ini merupakan pengembangan pupuk asam humat larut air yang selain berfungsi sebagai pupuk organik juga berfungsi sebagai pembenah tanah.
                                IMPRESOL direkomendasikan penggunaannya secara rutin maupun kondisional untuk memenuhi kebutuhan unsur hara Kalium secara aman terutama disaat-saat tanaman sedang dalam keadaan terdampak oleh serangan hama dan penyakit (fungi maupun bakteri).","Meningkatkan respon tanaman terhadap pemupukan dan penyerapan karbon.; Meningkatkan permeabilitas dan daya serap sel tanaman terhadap nutrien.; Menunjang pembentukan enzim-enzim dan hormon tumbuh dalam tubuh tanaman.; Menetralisir keasaman permukaan daun yang menyebabkan berkembangnya jamur patogen.; Mencegah stress tanaman akibat cuaca, serta mengatasi pucuk-pucuk daun menguning."
Jagung,Rp. 5.000,"Jagung Manis Rasakan manisnya jagung segar yang dipanen langsung dari kebun! Cocok untuk direbus, dipanggang, atau dijadikan campuran dalam berbagai masakan, jagung kami memberikan rasa yang lezat dan nutrisi yang melimpah.","Beradaptasi baik didataran rendah - tinggi; Jagung tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Benih Kacang Panjang,Rp. 5.000,"Benih kacang panjang unggul dengan penciri utama bunga / buah awal muncul dari batang tengah tanaman, baru kemudian disusul buah dari bawah dan atas.","Beradaptasi baik didataran rendah - menengah; Toleransi terhadap virus; Potensi hasil 36 – 40 ton/ha; Ukuran buah ± 65 – 82 cm; Biji berwarna coklat putih dan polong hijau panjang; Bunga berwarna putih; Kebutuhan benih 5,5 – 7 kg/ha; Dapat dipanen mulai ± 45 – 48 HST"
Kalinet,Rp. 5.000,"Kombinasi sinergis unsur kalium dan boron konsentrasi tinggi dalam bentuk kationik dan instan. Mudah diserap dan dimanfaatkan tanaman untuk mengoptimalkan pembentukan buah, bulir, biji, polong, dan umbi, meningkatkan rendemen, kualitas dan daya simpan hasil panen. KALINET dianjurkan penggunaannya terutama pada saat tanaman mencapai fase generatif / produktif dimana dalam tubuh tanaman terjadi biosintesis karbohidrat dalam jumlah besar untuk pembentukan buah / umbi / biji / polong.","Membatasi pertumbuhan vegetatif yang berlebihan.; Mempertahankan kondisi daun tua agar tetap berfotosintesis.; Mencegah kemacetan pertumbuhan pada titik-titik tumbuh seperti tunas, ujung akar, dan anakan.; Meningkatkan bobot, kualitas, ukuran, rendemen serta daya simpan hasil panen.; Mencegah stress tanaman akibat cuaca, serta mengatasi pucuk-pucuk daun menguning."
